epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,1.16154,0.862423,0.096,nan,0.0974197,nan
1,ReLU,0.794617,0.768396,0.08,nan,0.0899605,nan
2,ReLU,0.703456,0.698701,0.092,nan,0.109091,nan
3,ReLU,0.636914,0.641926,0.092,nan,0.109091,nan
4,ReLU,0.583523,0.593703,0.088,nan,0.103208,nan
5,ReLU,0.539027,0.552428,0.096,nan,0.10966,nan
6,ReLU,0.501818,0.517485,0.108,nan,0.126806,nan
7,ReLU,0.470024,0.487986,0.108,nan,0.124149,nan
8,ReLU,0.44287,0.463023,0.112,nan,0.130032,nan
9,ReLU,0.41994,0.441648,0.104,nan,0.120578,nan
10,ReLU,0.400375,0.422834,0.104,nan,0.120578,nan
11,ReLU,0.383243,0.40647,0.108,nan,0.12646,nan
12,ReLU,0.368573,0.392294,0.124,nan,0.144696,nan
13,ReLU,0.355827,0.380089,0.128,nan,0.147921,nan
14,ReLU,0.344639,0.36936,0.136,nan,0.154328,nan
15,ReLU,0.334833,0.359954,0.132,nan,0.151726,nan
16,ReLU,0.326251,0.351749,0.132,0.119609,0.152053,0.133893
17,ReLU,0.318765,0.344412,0.136,0.122491,0.157935,0.137973
18,ReLU,0.312099,0.337999,0.128,0.119358,0.150709,0.133214
19,ReLU,0.306236,0.332151,0.128,0.122114,0.150586,0.134864
20,ReLU,0.300899,0.326795,0.124,0.118193,0.146586,0.130867
21,ReLU,0.296014,0.321918,0.128,0.122219,0.150503,0.134894
22,ReLU,0.291503,0.3175,0.128,0.123015,0.150503,0.135377
23,ReLU,0.287318,0.313542,0.136,0.129275,0.157729,0.142092
24,ReLU,0.28342,0.309916,0.132,0.127136,0.154699,0.13957
25,ReLU,0.279849,0.306558,0.132,0.126974,0.154699,0.139472
26,ReLU,0.276565,0.303439,0.128,0.126062,0.151127,0.137461
27,ReLU,0.273516,0.300481,0.132,0.128089,0.156664,0.140943
28,ReLU,0.270639,0.297722,0.124,0.120629,0.145226,0.13179
29,ReLU,0.267957,0.295116,0.12,0.116675,0.144078,0.128936
30,ReLU,0.265417,0.29264,0.12,0.118273,0.144078,0.129907
31,ReLU,0.262943,0.290304,0.12,0.118622,0.144078,0.130117
32,ReLU,0.260625,0.288129,0.12,0.120462,0.144301,0.131308
33,ReLU,0.258433,0.286085,0.124,0.122267,0.147331,0.133634
34,ReLU,0.256347,0.28414,0.12,0.117791,0.143331,0.129312
35,ReLU,0.254344,0.282329,0.128,0.132611,0.150351,0.140925
36,ReLU,0.252451,0.280601,0.128,0.132939,0.150351,0.14111
37,ReLU,0.250675,0.278991,0.124,0.129657,0.142658,0.135847
38,ReLU,0.249021,0.27747,0.128,0.132456,0.14623,0.139002
39,ReLU,0.247444,0.276022,0.132,0.136322,0.149455,0.142587
40,ReLU,0.245927,0.274613,0.136,0.138408,0.152681,0.145195
41,ReLU,0.244471,0.27327,0.136,0.138097,0.152681,0.145023
42,ReLU,0.243084,0.271986,0.144,0.143247,0.15916,0.150784
43,ReLU,0.241749,0.270762,0.14,0.1391,0.155588,0.146883
44,ReLU,0.240468,0.269598,0.144,0.1422,0.161471,0.151224
45,ReLU,0.239247,0.26848,0.144,0.1422,0.161471,0.151224
46,ReLU,0.238073,0.267404,0.144,0.1422,0.161471,0.151224
47,ReLU,0.236928,0.266305,0.144,0.140545,0.161471,0.150283
48,ReLU,0.235807,0.265259,0.144,0.139876,0.161471,0.1499
49,ReLU,0.234723,0.264258,0.156,0.150273,0.173609,0.1611
50,ReLU,0.233671,0.263311,0.156,0.150897,0.173609,0.161458
51,ReLU,0.232653,0.262414,0.156,0.14974,0.173609,0.160794
52,ReLU,0.231673,0.261562,0.16,0.152336,0.17664,0.16359
53,ReLU,0.230732,0.260754,0.16,0.151997,0.17664,0.163394
54,ReLU,0.229824,0.259958,0.16,0.151748,0.17664,0.163251
55,ReLU,0.228942,0.259194,0.164,0.154351,0.17967,0.166051
56,ReLU,0.228086,0.258448,0.168,0.158268,0.183241,0.169842
57,ReLU,0.227259,0.257754,0.168,0.158268,0.183241,0.169842
58,ReLU,0.226465,0.257073,0.168,0.15946,0.183241,0.170526
59,ReLU,0.225694,0.256414,0.168,0.158791,0.183241,0.170142
60,ReLU,0.224942,0.255779,0.172,0.162016,0.189124,0.174523
61,ReLU,0.224209,0.255168,0.172,0.161635,0.188582,0.174072
62,ReLU,0.223501,0.254582,0.172,0.161238,0.188582,0.173842
63,ReLU,0.222811,0.254009,0.172,0.160007,0.188582,0.173123
64,ReLU,0.22213,0.253454,0.168,0.157798,0.185552,0.170554
65,ReLU,0.221468,0.252923,0.172,0.164039,0.191108,0.176542
66,ReLU,0.220816,0.252411,0.184,0.178529,0.205943,0.191259
67,ReLU,0.220173,0.251917,0.188,0.181217,0.209514,0.194341
68,ReLU,0.219542,0.251432,0.188,0.181202,0.209514,0.194332
69,ReLU,0.218917,0.250924,0.188,0.181202,0.209514,0.194332
70,ReLU,0.218303,0.250453,0.192,0.188103,0.213514,0.200004
71,ReLU,0.217705,0.249985,0.192,0.188103,0.213514,0.200004
72,ReLU,0.217128,0.249546,0.192,0.188103,0.213514,0.200004
73,ReLU,0.216569,0.249106,0.196,0.19217,0.216545,0.20363
74,ReLU,0.216018,0.248699,0.196,0.19217,0.216545,0.20363
75,ReLU,0.215481,0.248283,0.196,0.19217,0.216545,0.20363
76,ReLU,0.214957,0.247889,0.204,0.199942,0.223564,0.211094
77,ReLU,0.21444,0.247503,0.212,0.206567,0.233018,0.218997
78,ReLU,0.213933,0.247109,0.212,0.206567,0.233018,0.218997
79,ReLU,0.213435,0.246739,0.212,0.206239,0.233018,0.218812
80,ReLU,0.21295,0.246381,0.212,0.206239,0.233018,0.218812
81,ReLU,0.212479,0.246051,0.212,0.206239,0.233018,0.218812
82,ReLU,0.212014,0.2457,0.212,0.216576,0.233559,0.224747
83,ReLU,0.211563,0.245379,0.212,0.216156,0.233559,0.224521
84,ReLU,0.21112,0.24506,0.212,0.216156,0.233559,0.224521
85,ReLU,0.210688,0.244765,0.212,0.216156,0.233559,0.224521
86,ReLU,0.21026,0.244446,0.216,0.217555,0.23659,0.226674
87,ReLU,0.209841,0.244166,0.216,0.217555,0.23659,0.226674
88,ReLU,0.209433,0.243849,0.216,0.217561,0.23659,0.226677
89,ReLU,0.209028,0.24358,0.208,0.210657,0.229447,0.219651
90,ReLU,0.208634,0.243288,0.208,0.209311,0.229447,0.218917
91,ReLU,0.20824,0.243041,0.208,0.209311,0.229447,0.218917
92,ReLU,0.20785,0.242738,0.208,0.20882,0.229447,0.218648
93,ReLU,0.207466,0.242482,0.208,0.205575,0.229447,0.216856
94,ReLU,0.207092,0.242201,0.208,0.205434,0.229447,0.216778
95,ReLU,0.206726,0.241967,0.212,0.21106,0.233447,0.221689
96,ReLU,0.206365,0.241708,0.212,0.21106,0.233447,0.221689
97,ReLU,0.206011,0.241488,0.208,0.205375,0.229875,0.216936
98,ReLU,0.205664,0.241261,0.208,0.203806,0.229875,0.216057
99,ReLU,0.205323,0.241045,0.208,0.20353,0.229875,0.215902
100,ReLU,0.204988,0.240821,0.208,0.20353,0.229875,0.215902
101,ReLU,0.204657,0.240631,0.208,0.20353,0.229875,0.215902
102,ReLU,0.204328,0.240413,0.208,0.204387,0.229875,0.216383
103,ReLU,0.204008,0.240218,0.208,0.204192,0.229875,0.216274
104,ReLU,0.203692,0.240025,0.208,0.204192,0.229875,0.216274
105,ReLU,0.203382,0.239828,0.208,0.202733,0.229875,0.215453
106,ReLU,0.203074,0.239636,0.208,0.202733,0.229875,0.215453
107,ReLU,0.202769,0.239457,0.216,0.208467,0.236354,0.221536
108,ReLU,0.202469,0.239268,0.22,0.212329,0.239802,0.225231
109,ReLU,0.202175,0.239089,0.22,0.212718,0.239802,0.22545
110,ReLU,0.201884,0.238934,0.22,0.213552,0.239802,0.225917
111,ReLU,0.201598,0.238751,0.22,0.213106,0.239802,0.225667
112,ReLU,0.201311,0.238598,0.22,0.218342,0.240343,0.228815
113,ReLU,0.201028,0.238461,0.22,0.218342,0.240343,0.228815
114,ReLU,0.200754,0.238284,0.22,0.218342,0.240343,0.228815
115,ReLU,0.200483,0.238122,0.216,0.212036,0.236343,0.223531
116,ReLU,0.200209,0.237971,0.216,0.212786,0.236343,0.223947
117,ReLU,0.199937,0.237823,0.216,0.212786,0.236343,0.223947
118,ReLU,0.199666,0.237653,0.216,0.212786,0.236343,0.223947
119,ReLU,0.199397,0.237495,0.216,0.212786,0.236343,0.223947
120,ReLU,0.199132,0.237332,0.216,0.212786,0.236343,0.223947
121,ReLU,0.198871,0.237199,0.216,0.212786,0.236343,0.223947
122,ReLU,0.198619,0.237038,0.216,0.213643,0.236343,0.224421
123,ReLU,0.198364,0.236902,0.216,0.213643,0.236343,0.224421
124,ReLU,0.198113,0.236748,0.22,0.216376,0.239915,0.227538
125,ReLU,0.197866,0.236608,0.224,0.219328,0.243141,0.230621
126,ReLU,0.197623,0.236462,0.224,0.220952,0.243141,0.231516
127,ReLU,0.197382,0.236341,0.224,0.220952,0.243141,0.231516
128,ReLU,0.197142,0.236206,0.224,0.220952,0.243141,0.231516
129,ReLU,0.196906,0.236066,0.224,0.220952,0.243141,0.231516
130,ReLU,0.196673,0.23595,0.224,0.220952,0.243141,0.231516
131,ReLU,0.196439,0.235838,0.224,0.220952,0.243141,0.231516
132,ReLU,0.196207,0.235702,0.224,0.221165,0.243141,0.231633
133,ReLU,0.195977,0.235564,0.224,0.220456,0.243141,0.231243
134,ReLU,0.195747,0.235441,0.224,0.220456,0.243141,0.231243
135,ReLU,0.195516,0.235317,0.224,0.220456,0.243141,0.231243
136,ReLU,0.195288,0.235195,0.224,0.218466,0.243141,0.230144
137,ReLU,0.195061,0.235088,0.224,0.218466,0.243141,0.230144
138,ReLU,0.194835,0.234962,0.22,0.216047,0.24011,0.227444
139,ReLU,0.194609,0.234863,0.216,0.209473,0.232418,0.22035
140,ReLU,0.194389,0.23474,0.22,0.210189,0.235989,0.222343
141,ReLU,0.194164,0.234654,0.22,0.209364,0.235989,0.221881
142,ReLU,0.193948,0.234545,0.22,0.209995,0.235989,0.222235
143,ReLU,0.193732,0.234455,0.22,0.209858,0.235989,0.222158
144,ReLU,0.193519,0.234362,0.216,0.206887,0.232763,0.219064
145,ReLU,0.193309,0.234269,0.216,0.206887,0.232763,0.219064
146,ReLU,0.193102,0.234182,0.216,0.206887,0.232763,0.219064
147,ReLU,0.192898,0.234085,0.22,0.212517,0.236335,0.223794
148,ReLU,0.192694,0.234014,0.224,0.214866,0.239365,0.226455
149,ReLU,0.19249,0.233919,0.224,0.215228,0.239365,0.226656
150,ReLU,0.192287,0.23382,0.224,0.214461,0.239365,0.22623
151,ReLU,0.192087,0.23375,0.224,0.214461,0.239365,0.22623
152,ReLU,0.191891,0.233669,0.224,0.214461,0.239365,0.22623
153,ReLU,0.191691,0.233588,0.224,0.214461,0.239365,0.22623
154,ReLU,0.191498,0.233495,0.228,0.217129,0.242396,0.229068
155,ReLU,0.1913,0.233428,0.228,0.216087,0.242396,0.228486
156,ReLU,0.191105,0.233346,0.228,0.217129,0.242396,0.229068
157,ReLU,0.190913,0.233269,0.228,0.216601,0.242396,0.228774
158,ReLU,0.190721,0.233178,0.228,0.216601,0.242396,0.228774
159,ReLU,0.190529,0.2331,0.228,0.217234,0.242396,0.229126
160,ReLU,0.190337,0.23302,0.228,0.217234,0.242396,0.229126
161,ReLU,0.190149,0.232947,0.228,0.217234,0.242396,0.229126
162,ReLU,0.189957,0.232875,0.228,0.217234,0.242396,0.229126
163,ReLU,0.189768,0.232797,0.228,0.217234,0.242396,0.229126
164,ReLU,0.189579,0.232715,0.228,0.217455,0.242396,0.229249
165,ReLU,0.189393,0.232667,0.228,0.217455,0.242396,0.229249
166,ReLU,0.189205,0.232588,0.228,0.217116,0.242396,0.229061
167,ReLU,0.189021,0.232523,0.232,0.219965,0.245426,0.231999
168,ReLU,0.18884,0.232454,0.24,0.228224,0.252028,0.239536
169,ReLU,0.188655,0.23239,0.24,0.228224,0.252028,0.239536
170,ReLU,0.188474,0.232348,0.24,0.228224,0.252028,0.239536
171,ReLU,0.188296,0.232271,0.24,0.228745,0.252028,0.239823
172,ReLU,0.188118,0.232229,0.24,0.228745,0.252028,0.239823
173,ReLU,0.187939,0.232159,0.24,0.23024,0.252028,0.240641
174,ReLU,0.187762,0.232104,0.24,0.23024,0.252028,0.240641
175,ReLU,0.187585,0.232039,0.24,0.23024,0.252028,0.240641
176,ReLU,0.187411,0.231993,0.24,0.23024,0.252028,0.240641
