epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,2.2319,2.18273,0.08,0.103527,0.0693014,0.0830252
1,ReLU,2.14134,2.14186,0.076,0.0854882,0.0660756,0.0745387
2,ReLU,2.0881,2.09636,0.076,0.0794339,0.0685097,0.0735685
3,ReLU,2.03424,2.04778,0.08,0.0877091,0.0734223,0.0799324
4,ReLU,1.97963,2.00964,0.1,0.108368,0.0957888,0.101691
5,ReLU,1.9268,1.97209,0.116,0.122048,0.113614,0.11768
6,ReLU,1.87578,1.93271,0.12,0.124388,0.116644,0.120392
7,ReLU,1.8282,1.88946,0.128,0.132854,0.123664,0.128094
8,ReLU,1.78037,1.84895,0.136,0.142267,0.133546,0.137769
9,ReLU,1.73286,1.81399,0.148,0.155787,0.146031,0.150751
10,ReLU,1.68834,1.7838,0.148,0.152705,0.146031,0.149293
11,ReLU,1.64707,1.75939,0.156,0.160496,0.157367,0.158916
12,ReLU,1.61033,1.73846,0.156,0.16155,0.157367,0.159431
13,ReLU,1.57575,1.71916,0.156,0.159993,0.157367,0.158669
14,ReLU,1.54264,1.701,0.16,0.165395,0.160397,0.162858
15,ReLU,1.51084,1.68354,0.164,0.169399,0.166279,0.167825
16,ReLU,1.48027,1.66675,0.164,0.170558,0.166279,0.168391
17,ReLU,1.45076,1.65068,0.164,0.17225,0.166279,0.169212
18,ReLU,1.42208,1.63496,0.164,0.171713,0.166279,0.168953
19,ReLU,1.39393,1.6195,0.168,0.175846,0.169505,0.172617
20,ReLU,1.36626,1.60416,0.172,0.17993,0.172535,0.176155
21,ReLU,1.33896,1.58939,0.168,0.174792,0.168964,0.171829
22,ReLU,1.31201,1.57526,0.176,0.18313,0.178091,0.180575
23,ReLU,1.28553,1.5619,0.176,0.184389,0.178091,0.181186
24,ReLU,1.25982,1.54931,0.176,0.184456,0.178091,0.181217
25,ReLU,1.23499,1.53726,0.18,0.18719,0.181121,0.184106
26,ReLU,1.21121,1.52579,0.176,0.182835,0.177895,0.180331
27,ReLU,1.1883,1.51451,0.176,0.181339,0.177895,0.179601
28,ReLU,1.16626,1.50357,0.184,0.186595,0.184497,0.18554
29,ReLU,1.14493,1.49292,0.192,0.195803,0.193828,0.19481
30,ReLU,1.12406,1.48275,0.196,0.201301,0.197399,0.199331
31,ReLU,1.10371,1.47298,0.196,0.203152,0.197399,0.200234
32,ReLU,1.08382,1.46356,0.192,0.204504,0.189083,0.196491
33,ReLU,1.06435,1.45467,0.188,0.201096,0.185511,0.19299
34,ReLU,1.0453,1.44611,0.196,0.210234,0.192654,0.201061
35,ReLU,1.02671,1.43797,0.196,0.210533,0.192654,0.201197
36,ReLU,1.00857,1.43018,0.196,0.212684,0.192654,0.202174
37,ReLU,0.990782,1.4227,0.196,0.212684,0.192654,0.202174
38,ReLU,0.973432,1.41538,0.196,0.211444,0.192654,0.201612
39,ReLU,0.956469,1.40817,0.196,0.212109,0.192654,0.201914
40,ReLU,0.939819,1.40112,0.196,0.212193,0.192654,0.201952
41,ReLU,0.923496,1.39418,0.196,0.210928,0.192654,0.201377
42,ReLU,0.907454,1.38748,0.196,0.208788,0.192654,0.200397
43,ReLU,0.891707,1.38087,0.196,0.208788,0.192654,0.200397
44,ReLU,0.876164,1.37464,0.196,0.208142,0.192654,0.200099
45,ReLU,0.860876,1.3686,0.196,0.207639,0.192654,0.199866
46,ReLU,0.845856,1.36266,0.2,0.210073,0.198537,0.204142
47,ReLU,0.831073,1.357,0.2,0.209988,0.198537,0.204102
48,ReLU,0.816469,1.35137,0.208,0.216827,0.204793,0.210638
49,ReLU,0.802091,1.34582,0.208,0.214644,0.204793,0.209603
50,ReLU,0.787938,1.34051,0.212,0.218712,0.208364,0.213413
51,ReLU,0.773982,1.33512,0.216,0.222226,0.211936,0.216959
52,ReLU,0.760174,1.33004,0.224,0.228989,0.222658,0.225779
53,ReLU,0.746566,1.32491,0.22,0.224119,0.219432,0.221751
54,ReLU,0.733201,1.32015,0.224,0.227852,0.224988,0.226411
55,ReLU,0.72005,1.31527,0.228,0.230915,0.228559,0.229731
56,ReLU,0.707131,1.31109,0.228,0.231832,0.228559,0.230184
57,ReLU,0.694392,1.30623,0.228,0.231832,0.228559,0.230184
58,ReLU,0.681993,1.30266,0.228,0.232933,0.228559,0.230725
59,ReLU,0.669682,1.29759,0.232,0.235618,0.232008,0.233799
60,ReLU,0.657786,1.29513,0.236,0.241693,0.235456,0.238534
61,ReLU,0.645876,1.28927,0.236,0.240446,0.235456,0.237925
62,ReLU,0.634668,1.28866,0.236,0.242059,0.235456,0.238712
63,ReLU,0.623233,1.28097,0.24,0.243808,0.238904,0.241331
64,ReLU,0.613007,1.28321,0.24,0.245715,0.238904,0.242262
65,ReLU,0.602097,1.2728,0.24,0.242787,0.238904,0.24083
66,ReLU,0.592929,1.27831,0.24,0.245497,0.238904,0.242155
67,ReLU,0.582407,1.26561,0.24,0.242903,0.238904,0.240887
68,ReLU,0.57361,1.27285,0.24,0.245626,0.238904,0.242218
69,ReLU,0.563194,1.25964,0.24,0.243054,0.238904,0.240961
70,ReLU,0.554314,1.267,0.244,0.24796,0.246597,0.247276
71,ReLU,0.544095,1.25467,0.244,0.247038,0.246597,0.246817
72,ReLU,0.535329,1.26128,0.244,0.24796,0.246597,0.247276
73,ReLU,0.525359,1.25017,0.252,0.253048,0.255705,0.254369
74,ReLU,0.516885,1.25581,0.244,0.248011,0.246597,0.247302
